time_stamp,battery_power_kw
2022-05-26 01:49:30.001505+00,51.6
2022-05-26 01:50:00.002131+00,47.1
2022-05-26 01:50:30.001348+00,61.3
2022-05-26 01:51:00.002245+00,60.2
2022-05-26 01:51:30.001556+00,48.4
2022-05-26 01:52:00.004542+00,60
2022-05-26 01:52:30.003378+00,44.9
2022-05-26 01:53:00.010843+00,64.2
2022-05-26 01:53:30.001973+00,75
2022-05-26 01:54:00.011897+00,49.1
2022-05-26 01:54:30.001857+00,71.9
2022-05-26 01:55:00.002012+00,67.3
2022-05-26 01:55:30.001346+00,79.7
2022-05-26 01:56:00.0171+00,76.1
2022-05-26 01:56:30.001799+00,68.2
2022-05-26 01:57:00.011692+00,77.8
2022-05-26 01:57:30.001604+00,66.7
2022-05-26 01:58:00.016557+00,67.9
2022-05-26 01:58:30.00187+00,72.3
2022-05-26 01:59:00.010753+00,48.9
2022-05-26 01:59:30.00154+00,59.4
2022-05-26 02:00:00.01934+00,69.2
2022-05-26 02:00:30.00156+00,51.5
2022-05-26 02:01:00.010779+00,61.6
2022-05-26 02:01:30.006077+00,50.4
2022-05-26 02:02:00.011275+00,63.4
2022-05-26 02:02:30.001562+00,50.6
2022-05-26 02:03:00.011277+00,53.9
2022-05-26 02:03:30.001394+00,56.6
2022-05-26 02:04:00.002304+00,35.4
2022-05-26 02:04:30.002076+00,56.6
2022-05-26 02:05:00.002497+00,56.6
2022-05-26 02:05:30.001619+00,60.4
2022-05-26 02:06:00.006538+00,66
2022-05-26 02:06:30.002307+00,51.5
2022-05-26 02:07:00.00136+00,55.9
2022-05-26 02:07:30.001476+00,37
2022-05-26 02:08:00.02066+00,58
2022-05-26 02:08:30.002278+00,56.8
2022-05-26 02:09:00.003617+00,36.6
2022-05-26 02:09:30.001542+00,53.1
2022-05-26 02:10:00.011673+00,61.3
2022-05-26 02:10:30.002251+00,37.3
2022-05-26 02:11:00.003208+00,43.3
2022-05-26 02:11:30.001972+00,33.1
2022-05-26 02:12:00.006686+00,41.2
2022-05-26 02:12:30.002694+00,31.7
2022-05-26 02:13:00.010459+00,22.3
2022-05-26 02:13:30.002027+00,29.7
2022-05-26 02:14:00.006177+00,10.1
2022-05-26 02:14:30.001641+00,19.8
2022-05-26 02:15:00.026149+00,20.6
2022-05-26 02:15:30.001448+00,-7.6
2022-05-26 02:16:00.012339+00,-25.4
2022-05-26 02:16:30.001533+00,-3.8
2022-05-26 02:17:00.015909+00,13
2022-05-26 02:17:30.001572+00,8.3
2022-05-26 02:18:00.002437+00,-54.4
2022-05-26 02:18:30.002593+00,-74.1
2022-05-26 02:19:00.013322+00,-78.7
2022-05-26 02:19:30.002401+00,-1.7
2022-05-26 02:20:00.003887+00,19.9
2022-05-26 02:20:30.002602+00,9.8
2022-05-26 02:21:00.006434+00,24.5
2022-05-26 02:21:30.001738+00,15.3
2022-05-26 02:22:00.012034+00,-41.4
2022-05-26 02:22:30.001503+00,-3.5
2022-05-26 02:23:00.001919+00,18.8
2022-05-26 02:23:30.001681+00,16.2
2022-05-26 02:24:00.006551+00,14.6
2022-05-26 02:24:30.010382+00,12.9
2022-05-26 02:25:00.01263+00,35.7
2022-05-26 02:25:30.002495+00,24
2022-05-26 02:26:00.015804+00,32.3
2022-05-26 02:26:30.001717+00,40.3
2022-05-26 02:27:00.004754+00,25.6
2022-05-26 02:27:30.001606+00,36.6
2022-05-26 02:28:00.001596+00,32.6
2022-05-26 02:28:30.001528+00,14.9
2022-05-26 02:29:00.014884+00,32.7
2022-05-26 02:29:30.001556+00,27.1
2022-05-26 02:30:00.00198+00,6.4
2022-05-26 02:30:30.001652+00,15
2022-05-26 02:31:00.011128+00,8.6
2022-05-26 02:31:30.002513+00,36
2022-05-26 02:32:00.001425+00,30.7
2022-05-26 02:32:30.002061+00,22.4
2022-05-26 02:33:00.017125+00,36.6
2022-05-26 02:33:30.001361+00,12
2022-05-26 02:34:00.014662+00,25.4
2022-05-26 02:34:30.001564+00,25.5
2022-05-26 02:35:00.003136+00,2.2
2022-05-26 02:35:30.001567+00,13.6
2022-05-26 02:36:00.019647+00,12.4
2022-05-26 02:36:30.004891+00,14.1
2022-05-26 02:37:00.014483+00,-1.2
2022-05-26 02:37:30.001522+00,-9.5
2022-05-26 02:38:00.014662+00,12.6
2022-05-26 02:38:30.001595+00,1.9
2022-05-26 02:39:00.004186+00,-11.5
2022-05-26 02:39:30.001457+00,5.2
2022-05-26 02:40:00.018064+00,-12.9
2022-05-26 02:40:30.001435+00,-4.5
2022-05-26 02:41:00.006337+00,4
2022-05-26 02:41:30.001659+00,4.2
2022-05-26 02:42:00.002569+00,-1.7
2022-05-26 02:42:30.002857+00,1
2022-05-26 02:43:00.011744+00,24.1
