time_stamp,battery_power_kw,interpolated_battery_power_kw
2022-05-26 03:35:00,129.3,129.3
2022-05-26 03:36:00,170.5,170.5
2022-05-26 03:37:00,147.4,147.4
2022-05-26 03:38:00,152.3,152.3
2022-05-26 03:39:00,148.2,148.2
2022-05-26 03:40:00,147.2,147.2
2022-05-26 03:41:00,168.2,168.2
2022-05-26 03:42:00,165.8,165.8
2022-05-26 03:43:00,168.39999999999998,168.39999999999998
2022-05-26 03:44:00,181.5,181.5
2022-05-26 03:45:00,160.1,160.1
2022-05-26 03:46:00,169.6,169.6
2022-05-26 03:47:00,157.10000000000002,157.10000000000002
2022-05-26 03:48:00,142.1,142.1
2022-05-26 03:49:00,144.2,144.2
2022-05-26 03:50:00,121.9,121.9
2022-05-26 03:51:00,133.39999999999998,133.39999999999998
2022-05-26 03:52:00,115.8,115.8
2022-05-26 03:53:00,114.7,114.7
2022-05-26 03:54:00,119.7,119.7
2022-05-26 03:55:00,97.69999999999999,97.69999999999999
2022-05-26 03:56:00,125.5,125.5
2022-05-26 03:57:00,102.1,102.1
2022-05-26 03:58:00,103.80000000000001,103.80000000000001
2022-05-26 03:59:00,90.19999999999999,90.19999999999999
2022-05-26 04:00:00,81.7,81.7
2022-05-26 04:01:00,104.3,104.3
2022-05-26 04:02:00,103.2,103.2
2022-05-26 04:03:00,67.30000000000001,67.30000000000001
2022-05-26 04:04:00,79.2,79.2
2022-05-26 04:05:00,54.900000000000006,54.900000000000006
2022-05-26 04:06:00,60.7,60.7
2022-05-26 04:07:00,50.2,50.2
2022-05-26 04:08:00,48.0,48.0
2022-05-26 04:09:00,56.5,56.5
2022-05-26 04:10:00,43.4,43.4
2022-05-26 04:11:00,40.7,40.7
2022-05-26 04:12:00,44.5,44.5
2022-05-26 04:13:00,25.8,25.8
2022-05-26 04:14:00,29.4,29.4
2022-05-26 04:15:00,18.8,18.8
2022-05-26 04:16:00,26.8,26.8
2022-05-26 04:17:00,22.6,22.6
2022-05-26 04:18:00,16.5,16.5
2022-05-26 04:19:00,25.2,25.2
2022-05-26 04:20:00,17.7,17.7
2022-05-26 04:21:00,32.6,32.6
2022-05-26 04:22:00,21.8,21.8
2022-05-26 04:23:00,5.2,5.2
2022-05-26 04:24:00,3.5999999999999996,3.5999999999999996
2022-05-26 04:25:00,-15.8,-15.8
2022-05-26 04:26:00,-13.6,-13.6
2022-05-26 04:27:00,-36.6,-36.6
2022-05-26 04:28:00,-67.3,-67.3
2022-05-26 04:29:00,-75.80000000000001,-75.80000000000001
2022-05-26 04:30:00,-85.19999999999999,-85.19999999999999
2022-05-26 04:31:00,-89.0,-89.0
2022-05-26 04:32:00,-90.4,-90.4
2022-05-26 04:33:00,-112.30000000000001,-112.30000000000001
2022-05-26 04:34:00,-97.4,-97.4
2022-05-26 04:35:00,-107.9,-107.9
2022-05-26 04:36:00,-91.6,-91.6
2022-05-26 04:37:00,-85.9,-85.9
2022-05-26 04:38:00,-115.2,-115.2
2022-05-26 04:39:00,-81.8,-81.8
2022-05-26 04:40:00,-73.80000000000001,-73.80000000000001
2022-05-26 04:41:00,-61.8,-61.8
2022-05-26 04:42:00,-50.2,-50.2
2022-05-26 04:43:00,-57.0,-57.0
2022-05-26 04:44:00,-55.9,-55.9
2022-05-26 04:45:00,-45.900000000000006,-45.900000000000006
2022-05-26 04:46:00,-22.3,-22.3
2022-05-26 04:47:00,-28.799999999999997,-28.799999999999997
2022-05-26 04:48:00,-21.1,-21.1
2022-05-26 04:49:00,-12.6,-12.6
2022-05-26 04:50:00,-6.2,-6.2
2022-05-26 04:51:00,-21.400000000000002,-21.400000000000002
2022-05-26 04:52:00,-4.699999999999999,-4.699999999999999
2022-05-26 04:53:00,-7.9,-7.9
2022-05-26 04:54:00,3.1,3.1
2022-05-26 04:55:00,10.5,10.5
2022-05-26 04:56:00,-6.8,-6.8
2022-05-26 04:57:00,16.1,16.1
2022-05-26 04:58:00,10.2,10.2
2022-05-26 04:59:00,35.599999999999994,35.599999999999994
2022-05-26 05:00:00,44.5,44.5
2022-05-26 05:01:00,43.5,43.5
2022-05-26 05:02:00,86.6,86.6
2022-05-26 05:03:00,74.8,74.8
2022-05-26 05:04:00,50.6,50.6
2022-05-26 05:05:00,57.9,57.9
2022-05-26 05:06:00,47.9,47.9
2022-05-26 05:07:00,64.8,64.8
2022-05-26 05:08:00,42.9,42.9
2022-05-26 05:09:00,25.9,25.9
2022-05-26 05:10:00,31.9,31.9
2022-05-26 05:11:00,10.1,10.1
2022-05-26 05:12:00,16.5,16.5
2022-05-26 05:13:00,6.2,6.2
2022-05-26 05:14:00,4.5,4.5
2022-05-26 05:15:00,-4.5,-4.5
2022-05-26 05:16:00,-2.5,-2.5
2022-05-26 05:17:00,1.3999999999999995,1.3999999999999995
2022-05-26 05:18:00,-12.6,-12.6
2022-05-26 05:19:00,-25.6,-25.6
2022-05-26 05:20:00,-23.599999999999998,-23.599999999999998
2022-05-26 05:21:00,-22.0,-22.0
2022-05-26 05:22:00,-11.1,-11.1
2022-05-26 05:23:00,-37.3,-37.3
2022-05-26 05:24:00,-44.0,-44.0
2022-05-26 05:25:00,-20.2,-20.2
2022-05-26 05:26:00,4.3999999999999995,4.3999999999999995
2022-05-26 05:27:00,25.7,25.7
2022-05-26 05:28:00,14.5,14.5
2022-05-26 05:29:00,17.2,17.2
2022-05-26 05:30:00,41.5,41.5
2022-05-26 05:31:00,52.5,52.5
2022-05-26 05:32:00,61.1,61.1
2022-05-26 05:33:00,26.4,26.4
2022-05-26 05:34:00,-15.0,-15.0
2022-05-26 05:35:00,8.2,8.2
2022-05-26 05:36:00,10.6,10.6
2022-05-26 05:37:00,21.4,21.4
2022-05-26 05:38:00,9.9,9.9
2022-05-26 05:39:00,10.2,10.2
2022-05-26 05:40:00,26.1,26.1
2022-05-26 05:41:00,28.4,28.4
2022-05-26 05:42:00,16.7,16.7
2022-05-26 05:43:00,2.0999999999999996,2.0999999999999996
2022-05-26 05:44:00,11.3,11.3
2022-05-26 05:45:00,22.400000000000002,22.400000000000002
2022-05-26 05:46:00,54.7,54.7
2022-05-26 05:47:00,37.1,37.1
2022-05-26 05:48:00,51.9,51.9
2022-05-26 05:49:00,52.0,52.0
2022-05-26 05:50:00,68.2,68.2
2022-05-26 05:51:00,41.8,41.8
2022-05-26 05:52:00,0.40000000000000036,0.40000000000000036
2022-05-26 05:53:00,10.5,10.5
2022-05-26 05:54:00,-15.799999999999999,-15.799999999999999
2022-05-26 05:55:00,-15.4,-15.4
2022-05-26 05:56:00,-16.6,-16.6
2022-05-26 05:57:00,-32.3,-32.3
2022-05-26 05:58:00,-24.1,-24.1
2022-05-26 05:59:00,-19.299999999999997,-19.299999999999997
2022-05-26 06:00:00,-11.4,-11.4
2022-05-26 06:01:00,-17.8,-17.8
2022-05-26 06:02:00,-5.3,-5.3
2022-05-26 06:03:00,-18.7,-18.7
2022-05-26 06:04:00,-6.6,-6.6
2022-05-26 06:05:00,-3.5000000000000004,-3.5000000000000004
2022-05-26 06:06:00,37.8,37.8
2022-05-26 06:07:00,18.8,18.8
2022-05-26 06:08:00,-11.2,-11.2
2022-05-26 06:09:00,-1.2999999999999998,-1.2999999999999998
2022-05-26 06:10:00,13.7,13.7
2022-05-26 06:11:00,68.19999999999999,68.19999999999999
2022-05-26 06:12:00,59.099999999999994,59.099999999999994
2022-05-26 06:13:00,-3.8000000000000007,-3.8000000000000007
2022-05-26 06:14:00,36.7,36.7
2022-05-26 06:15:00,78.4,78.4
2022-05-26 06:16:00,123.7,123.7
2022-05-26 06:17:00,64.4,64.4
2022-05-26 06:18:00,-122.80000000000001,-122.80000000000001
2022-05-26 06:19:00,21.5,21.5
2022-05-26 06:20:00,90.9,90.9
2022-05-26 06:21:00,142.9,142.9
2022-05-26 06:22:00,123.3,123.3
2022-05-26 06:23:00,74.69999999999999,74.69999999999999
2022-05-26 06:24:00,28.400000000000002,28.400000000000002
2022-05-26 06:25:00,28.0,28.0
2022-05-26 06:26:00,67.80000000000001,67.80000000000001
2022-05-26 06:27:00,96.9,96.9
2022-05-26 06:28:00,106.2,106.2
2022-05-26 06:29:00,59.3,59.3
2022-05-26 06:30:00,30.099999999999998,30.099999999999998
2022-05-26 06:31:00,6.4,6.4
2022-05-26 06:32:00,-33.9,-33.9
2022-05-26 06:33:00,-62.6,-62.6
2022-05-26 06:34:00,-68.7,-68.7
2022-05-26 06:35:00,-77.6,-77.6
2022-05-26 06:36:00,-22.7,-22.7
2022-05-26 06:37:00,-22.8,-22.8
2022-05-26 06:38:00,0.30000000000000004,0.30000000000000004
2022-05-26 06:39:00,27.4,27.4
2022-05-26 06:40:00,33.5,33.5
2022-05-26 06:41:00,-7.100000000000001,-7.100000000000001
2022-05-26 06:42:00,-88.30000000000001,-88.30000000000001
2022-05-26 06:43:00,-139.4,-139.4
2022-05-26 06:44:00,-298.3,-298.3
2022-05-26 06:45:00,-302.7,-302.7
2022-05-26 06:46:00,-310.5,-310.5
2022-05-26 06:47:00,-223.1,-223.1
2022-05-26 06:48:00,-206.10000000000002,-206.10000000000002
2022-05-26 06:49:00,-257.7,-257.7
2022-05-26 06:50:00,-248.5,-248.5
2022-05-26 06:51:00,-102.8,-102.8
2022-05-26 06:52:00,-275.4,-275.4
2022-05-26 06:53:00,-162.8,-162.8
2022-05-26 06:54:00,-82.5,-82.5
2022-05-26 06:55:00,-365.0,-365.0
2022-05-26 06:56:00,-288.8,-288.8
2022-05-26 06:57:00,-315.2,-315.2
2022-05-26 06:58:00,-287.29999999999995,-287.29999999999995
2022-05-26 06:59:00,-273.8,-273.8
2022-05-26 07:00:00,-285.29999999999995,-285.29999999999995
2022-05-26 07:01:00,-164.0,-164.0
2022-05-26 07:02:00,-90.9,-90.9
2022-05-26 07:03:00,-142.0,-142.0
2022-05-26 07:04:00,-11.4,-11.4
2022-05-26 07:05:00,-57.8,-57.8
2022-05-26 07:06:00,-152.0,-152.0
2022-05-26 07:07:00,-164.2,-164.2
2022-05-26 07:08:00,-151.7,-151.7
2022-05-26 07:09:00,0.8,0.8
2022-05-26 07:10:00,-143.4,-143.4
2022-05-26 07:11:00,-165.1,-165.1
2022-05-26 07:12:00,-166.7,-166.7
2022-05-26 07:13:00,-107.0,-107.0
2022-05-26 07:14:00,-131.8,-131.8
2022-05-26 07:15:00,24.8,24.8
